Status,Player,Pos,Player_ID,url,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3
Inactive,A.J. Price,PG,priceaj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,261,3929,12.2,0.486,0.478,0.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8,20.5,-0.3,-2.1,-2.4,0.38,18.3,0.522,0.1,0.113,0.126,0.184,0.478,0.439,0.583,0.393,0.44,0.389,0.316,0.178,0,0.739,0.152,0.324
Active,Aaron Brooks,PG,brookaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,594,13016,13.5,0.525,0.405,0.201,2.1,6.9,4.5,23.8,1.4,0.5,14.4,23.3,0.7,-2.4,-1.7,0.413,15.2,0.595,0.241,0.14,0.091,0.121,0.405,0.444,0.506,0.392,0.427,0.393,0.368,0.167,0.001,0.663,0.141,0.413
Active,Aaron Gordon,SF,gordoaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,182,4238,14.3,0.522,0.283,0.29,7.1,17.7,12.3,9.9,1.4,2,9.8,17.8,-0.6,0.4,-0.3,0.45,11.6,0.717,0.394,0.111,0.093,0.122,0.283,0.514,0.661,0.351,0.333,0.315,0.289,0.49,0.111,0.919,0.346,0.301
Active,Aaron Harrison,SG,harriaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harriaa01.html,26,110,3.3,0.326,0.522,0.609,3.9,14,8.9,6.1,2.7,0,12.1,13.6,-6.2,-0.2,-6.4,0.217,18.1,0.478,0.174,0.043,0,0.261,0.522,0.182,0.5,0,0,0,0.25,1,0,0.667,0.417,0.2
Active,Adreian Payne,PF,paynead01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html,96,1317,7.4,0.444,0.126,0.215,6.4,19.4,12.8,7.4,1.5,1.5,16.4,17.8,-4.9,-0.8,-5.8,0.399,11.5,0.874,0.252,0.228,0.116,0.277,0.126,0.422,0.529,0.37,0.362,0.393,0.235,0.631,0.082,0.917,0.196,0.2
Active,Al Horford,C,horfoal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,623,20823,19,0.568,0.072,0.216,8,22,15.1,14.7,1.3,2.9,11.2,19.6,0.8,2.2,3,0.529,10,0.928,0.311,0.223,0.131,0.263,0.072,0.543,0.725,0.439,0.436,0.469,0.344,0.714,0.091,0.977,0.254,0.328
Active,Al Jefferson,C,jeffeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,870,25716,20.6,0.527,0.005,0.231,9,25,16.9,9.7,1.2,3.3,8.2,25.5,-0.2,0.5,0.3,0.499,7.8,0.995,0.323,0.332,0.197,0.143,0.005,0.501,0.656,0.467,0.388,0.383,0.127,0.542,0.051,0.875,0.095,0.167
Active,Al-Farouq Aminu,SF,aminual01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,496,11822,12.3,0.509,0.279,0.273,6.7,20.2,13.4,7.9,2.1,2,15.3,15.7,-1.7,1.4,-0.3,0.426,11.4,0.721,0.366,0.172,0.051,0.132,0.279,0.467,0.611,0.325,0.327,0.306,0.319,0.621,0.1,0.96,0.415,0.344
Active,Alan Anderson,SF,anderal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,323,6751,10.3,0.525,0.462,0.237,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,-0.6,-1.5,-2.1,0.404,16.2,0.538,0.202,0.108,0.096,0.132,0.462,0.456,0.647,0.338,0.402,0.297,0.343,0.479,0.02,0.866,0.352,0.365
Active,Alan Williams,PF,willial03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/willial03.html,33,232,20,0.525,0,0.494,20.7,32.7,26.5,4.8,2.3,6.7,16.5,21,-3.1,1.5,-1.6,0.494,3.9,1,0.506,0.43,0.063,0,0,0.494,0.525,0.471,0.4,0,0,0.462,0.013,0,0,0
Active,Alec Burks,SG,burksal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,280,6284,14,0.527,0.199,0.412,3.5,11.2,7.3,13.9,1.5,0.6,12.6,22.9,-0.4,-1.6,-2,0.432,12,0.801,0.318,0.18,0.075,0.227,0.199,0.45,0.605,0.329,0.366,0.356,0.362,0.358,0.039,0.78,0.274,0.402
Active,Alex Abrines,SG,abrinal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/abrinal01.html,46,643,9.9,0.566,0.716,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16,-0.6,-2.5,-3.1,0.393,20.5,0.284,0.109,0.055,0.05,0.07,0.716,0.439,0.5,0.455,0.2,0.5,0.375,0.6,0.02,0.963,0.208,0.367
Inactive,Alex Kirk,C,kirkal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kirkal01.html,5,14,8.5,0.41,0,0.5,8.3,0,4.1,10.1,0,0,0,15.7,-3,-4.3,-7.4,0.25,9.8,1,0.5,0,0,0.5,0,0.25,0.5,0,0,0,0,0,0,0,0,0
Active,Alex Len,C,lenal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/l/lenal01.html,243,4762,12.9,0.513,0.01,0.373,10.4,24.2,17.2,5.3,1,4.2,16.7,17.1,-3.9,1.3,-2.6,0.463,6.5,0.99,0.489,0.214,0.134,0.153,0.01,0.465,0.62,0.316,0.297,0.327,0.214,0.663,0.175,1,0.429,0.333
Inactive,Alex Stepheson,PF,stephal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stephal01.html,8,73,14.8,0.341,0,0.444,28.5,14.5,21.8,4.3,0.7,6,0,19.8,-2,-1.1,-3.2,0.333,4.1,1,0.556,0.296,0.111,0.037,0,0.333,0.467,0.125,0.333,0,0,0.333,0,0,0,0
Inactive,Alexey Shved,SG,shvedal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/shvedal01.html,182,3271,12.8,0.489,0.438,0.323,2.8,9.6,6.1,23.2,1.7,1.2,15,22,-0.4,-1.3,-1.7,0.369,15.7,0.562,0.264,0.094,0.061,0.137,0.438,0.417,0.58,0.298,0.243,0.261,0.306,0.332,0.022,0.685,0.089,0.426
Active,Alexis Ajinca,C,ajincal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/ajincal01.html,277,3671,14.8,0.545,0.034,0.249,10,23.5,16.6,6.1,1.3,3.8,15.2,19.4,-2.9,0.4,-2.5,0.5,9.2,0.966,0.337,0.238,0.148,0.242,0.034,0.507,0.644,0.444,0.433,0.426,0.293,0.701,0.117,1,0.049,1
Active,Allen Crabbe,SG,crabbal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/c/crabbal01.html,204,4507,10.9,0.571,0.443,0.174,1.2,9.8,5.5,7.1,1.3,0.7,8.6,15.1,-0.2,-1.1,-1.2,0.451,17.3,0.557,0.149,0.076,0.09,0.244,0.443,0.492,0.699,0.37,0.449,0.419,0.401,0.784,0.02,0.966,0.307,0.419
Active,Alonzo Gee,SF,geeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/geeal01.html,417,9071,10.7,0.522,0.248,0.325,4.7,12.6,8.5,7.6,2.1,0.9,14.5,15.2,-1.6,0.2,-1.4,0.434,10.3,0.752,0.426,0.147,0.079,0.099,0.248,0.469,0.621,0.224,0.295,0.323,0.325,0.531,0.146,0.93,0.582,0.318
Inactive,Amar'e Stoudemire,C,stoudam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/s/stoudam01.html,846,26254,21.8,0.597,0.012,0.495,9,19.5,14.4,6.9,1.2,2.9,12.7,26.2,0.8,-0.2,0.5,0.537,6.9,0.988,0.448,0.249,0.116,0.175,0.012,0.54,0.67,0.441,0.418,0.431,0.236,0.591,0.159,0.7,0.252,0.313
Active,Amir Johnson,PF,johnsam01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/johnsam01.html,721,16119,16,0.604,0.058,0.29,10.9,18.6,14.8,8.4,1.4,3.7,15.2,14.9,0.3,2.2,2.6,0.574,6.3,0.942,0.531,0.258,0.037,0.117,0.058,0.589,0.707,0.463,0.377,0.399,0.333,0.676,0.13,0.974,0.276,0.365
Active,Anderson Varejao,C,varejan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/v/varejan01.html,627,15051,15.6,0.543,0.012,0.427,11.5,23.3,17.4,7.7,1.9,2.1,12.4,14.5,-0.8,2.3,1.5,0.51,6.2,0.988,0.538,0.187,0.118,0.145,0.012,0.516,0.633,0.356,0.381,0.4,0.024,0.711,0.06,1,0.071,0
Inactive,Andre Dawkins,SG,dawkian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dawkian01.html,4,22,-5,0.25,1,0,0,10.7,5.5,6.6,0,0,14.3,15,-7.5,-3.9,-11.5,0.167,25,0,0,0,0,0,1,0,0,0,0,0,0.167,0,0,1,0.167,0
Active,Andre Drummond,C,drumman01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/drumman01.html,361,10761,21.7,0.532,0.005,0.441,16.5,31.2,23.6,3.9,2.1,4.1,11,20.9,-0.9,1.5,0.6,0.549,2.9,0.995,0.662,0.298,0.031,0.004,0.005,0.55,0.643,0.376,0.292,0.063,0.278,0.577,0.194,0,0,0
Active,Andre Iguodala,SF,iguodan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/i/iguodan01.html,955,33248,16,0.553,0.275,0.386,3.2,14.1,8.7,20,2.4,1,14.9,18,1.4,1.6,3,0.463,13.4,0.725,0.324,0.07,0.094,0.237,0.275,0.511,0.703,0.322,0.324,0.38,0.335,0.513,0.142,0.828,0.31,0.345
Inactive,Andre Miller,PG,millean02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/millean02.html,1304,40268,17.4,0.532,0.068,0.38,4,9.9,6.9,34.7,2,0.4,16.9,20.6,1.7,-0.6,1.1,0.461,10.1,0.932,0.338,0.167,0.224,0.203,0.068,0.479,0.607,0.405,0.416,0.397,0.218,0.303,0.002,0.727,0.128,0.234
Active,Andre Roberson,SF,roberan03,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/roberan03.html,235,5012,9.5,0.524,0.388,0.222,5.5,14,9.8,5.1,1.9,2.2,12.4,9.6,-1.5,1.8,0.3,0.464,10.5,0.612,0.527,0.064,0.007,0.013,0.388,0.593,0.649,0.263,0.167,0.167,0.26,0.724,0.147,0.967,0.581,0.308
Inactive,Andrea Bargnani,C,bargnan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bargnan01.html,550,15806,14.4,0.531,0.265,0.251,3.9,15,9.5,7.1,0.7,2.4,10.3,24,-0.6,-1.6,-2.2,0.439,15,0.735,0.185,0.131,0.144,0.274,0.265,0.47,0.594,0.428,0.438,0.424,0.354,0.679,0.034,0.954,0.021,0.324
Inactive,Andrei Kirilenko,SF,kirilan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/k/kirilan01.html,797,23916,18.7,0.571,0.179,0.554,7.1,14.9,11,14.7,2.4,5,15.5,18.6,1.5,3.5,5,0.474,9.8,0.821,0.49,0.08,0.051,0.2,0.179,0.51,0.64,0.276,0.26,0.348,0.31,0.664,0.133,0.935,0.162,0.328
Active,Andrew Bogut,C,bogutan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bogutan01.html,670,19511,16.4,0.545,0.005,0.27,9.9,25.2,17.5,12.3,1.1,4.3,16,17,-1.2,3.5,2.4,0.534,4,0.995,0.547,0.353,0.064,0.031,0.005,0.536,0.646,0.424,0.329,0.31,0.12,0.587,0.127,0.667,0,0
Inactive,Andrew Goudelock,PG,goudean01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goudean01.html,49,475,8.6,0.485,0.429,0.082,1.7,6.1,4,8.5,1.1,0.4,12.1,22.1,-2.7,-3.8,-6.5,0.393,18.8,0.571,0.015,0.163,0.133,0.26,0.429,0.429,0,0.563,0.577,0.294,0.345,0.292,0,0.793,0.131,0.545
Active,Andrew Harrison,SG,harrian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harrian01.html,53,1162,8.5,0.469,0.436,0.546,1.8,8.3,5,20.2,2,1.5,15.9,16.2,-2.5,0.4,-2.1,0.316,15.3,0.564,0.287,0.096,0.067,0.124,0.436,0.358,0.457,0.333,0.158,0.229,0.26,0.14,0.007,0.594,0.138,0.471
Active,Andrew Nicholson,PF,nichoan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/n/nichoan01.html,275,3969,12.4,0.524,0.175,0.171,5.2,18.4,11.8,5.1,0.9,1.9,11.4,20.5,-3.4,-1.8,-5.2,0.469,12.5,0.825,0.19,0.278,0.106,0.25,0.175,0.499,0.709,0.443,0.401,0.442,0.327,0.6,0.041,0.965,0.45,0.316
Active,Andrew Wiggins,SF,wiggian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/w/wiggian01.html,220,7934,15.7,0.535,0.149,0.399,4.5,8.7,6.6,10.4,1.4,1.2,10.7,25.7,0.1,-2.3,-2.1,0.453,11.5,0.851,0.3,0.162,0.147,0.241,0.149,0.476,0.656,0.398,0.397,0.35,0.324,0.47,0.066,0.78,0.156,0.383
Active,Anthony Bennett,PF,bennean01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bennean01.html,151,1905,10.2,0.457,0.215,0.279,7.6,20.5,13.9,6.5,1.5,1.1,12.1,19,-4,-1.6,-5.6,0.392,13.1,0.785,0.314,0.086,0.064,0.32,0.215,0.427,0.652,0.2,0.22,0.312,0.261,0.66,0.103,0.972,0.283,0.282
Active,Anthony Brown,SF,brownan02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brownan02.html,40,758,5.4,0.427,0.551,0.114,2.3,12.5,7.3,5.4,1.3,0.6,10.2,12,-4,-0.9,-4.9,0.324,18.1,0.449,0.142,0.074,0.08,0.153,0.551,0.38,0.44,0.231,0.429,0.37,0.278,0.633,0.017,0.852,0.268,0.346
Active,Anthony Davis,PF,davisan02,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/davisan02.html,314,10783,26.5,0.575,0.043,0.398,8.3,25,16.5,9.5,2,5.7,8.5,27.4,1.9,2.2,4.1,0.513,9.5,0.957,0.347,0.198,0.171,0.242,0.043,0.523,0.707,0.436,0.435,0.393,0.288,0.697,0.141,0.969,0.176,0.231
Active,Anthony Morrow,SG,morroan01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/morroan01.html,555,12193,13.2,0.568,0.442,0.156,2.8,8.4,5.6,6.4,1.3,0.5,7.6,18.2,1,-2.6,-1.5,0.447,17.7,0.558,0.093,0.105,0.147,0.213,0.442,0.471,0.556,0.476,0.45,0.447,0.417,0.556,0.001,0.949,0.359,0.423
Active,Anthony Tolliver,PF,tollian01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/tollian01.html,501,9987,11.1,0.555,0.605,0.236,4.8,15.2,9.9,6.5,1,1.1,10.2,13.7,-0.2,-0.5,-0.7,0.413,18.4,0.395,0.17,0.069,0.039,0.118,0.605,0.493,0.657,0.405,0.316,0.363,0.36,0.736,0.032,0.996,0.335,0.394
Active,Archie Goodwin,SG,goodwar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/goodwar01.html,153,2212,11.1,0.5,0.224,0.429,3.9,11.3,7.5,13.1,1.5,1.2,16.9,22.2,-3.2,-1.3,-4.5,0.419,9,0.776,0.53,0.137,0.03,0.079,0.224,0.473,0.572,0.22,0.292,0.317,0.23,0.356,0.077,0.805,0.213,0.211
Active,Arinze Onuaku,C,onuakar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/o/onuakar01.html,19,126,14.5,0.62,0,0.435,9.7,22.3,15.8,10.9,0.4,2.5,15.4,11.4,-1.7,-0.3,-2,0.652,3.2,1,0.565,0.391,0.043,0,0,0.652,0.692,0.667,0,0,0,0.733,0.174,0,0,0
Active,Aron Baynes,C,baynear01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/baynear01.html,275,3827,14.4,0.563,0.006,0.338,11.2,20.8,16,5.7,0.7,2.2,14.6,17.3,-2.1,0.5,-1.6,0.509,5.5,0.994,0.49,0.295,0.12,0.089,0.006,0.511,0.601,0.449,0.364,0.418,0.143,0.748,0.112,1,0.286,0
Active,Arron Afflalo,SG,afflaar01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/afflaar01.html,697,19820,12.2,0.557,0.331,0.255,1.9,10,6,10.8,0.9,0.5,10.4,18,0.4,-1.3,-1,0.451,15.2,0.669,0.188,0.115,0.143,0.223,0.331,0.483,0.612,0.41,0.465,0.424,0.385,0.549,0.004,0.946,0.439,0.428
Inactive,Austin Daye,SF,dayeau01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/d/dayeau01.html,293,4132,11.6,0.5,0.379,0.182,4,18.6,11.1,8.3,1.5,2.3,11.8,19.3,-2,-0.6,-2.6,0.402,16.1,0.621,0.174,0.099,0.14,0.206,0.379,0.433,0.589,0.414,0.389,0.34,0.351,0.573,0.021,0.963,0.327,0.377
Active,Austin Rivers,SG,riverau01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/r/riverau01.html,328,7349,10.2,0.497,0.297,0.272,1.7,8.1,4.9,14.7,1.5,0.6,11.8,19,-1.5,-1.6,-3.1,0.416,12,0.703,0.311,0.227,0.071,0.092,0.297,0.443,0.563,0.36,0.351,0.311,0.351,0.266,0.013,0.835,0.232,0.411
Active,Avery Bradley,SG,bradlav01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/bradlav01.html,394,11041,12,0.519,0.306,0.124,2.5,9.4,6,9.9,1.9,0.6,10.6,20.7,-0.9,-0.5,-1.4,0.443,15.5,0.694,0.233,0.062,0.056,0.343,0.306,0.476,0.627,0.319,0.391,0.416,0.367,0.598,0.025,0.895,0.436,0.376
Inactive,Axel Toupane,SF,toupaax01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/t/toupaax01.html,21,305,7.1,0.49,0.571,0.243,2.9,8.5,5.6,7,1.2,1.6,7.2,12,-1.7,-1.1,-2.8,0.357,16.5,0.429,0.229,0.043,0.043,0.114,0.571,0.4,0.563,0,0,0.375,0.325,0.917,0.014,1,1,0.325
Inactive,Ben Gordon,SG,gordobe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordobe01.html,744,20366,14.9,0.546,0.321,0.263,1.9,8.7,5.2,16.5,1.3,0.4,13.3,25.9,1.1,-2.2,-1.1,0.432,16.4,0.679,0.161,0.088,0.103,0.325,0.321,0.447,0.496,0.419,0.421,0.439,0.401,0.395,0.004,0.708,0.265,0.431
Active,Ben McLemore,SG,mclembe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/m/mclembe01.html,275,7077,9,0.524,0.443,0.202,2.1,8.8,5.5,7.4,1.4,0.6,13.3,17.3,-1.1,-1.4,-2.5,0.414,15.9,0.557,0.221,0.118,0.05,0.168,0.443,0.465,0.674,0.256,0.396,0.356,0.35,0.654,0.065,0.936,0.339,0.401
Active,Beno Udrih,PG,udrihbe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/u/udrihbe01.html,822,18045,14,0.538,0.226,0.204,1.9,8.9,5.4,25,1.6,0.3,15.4,18.9,0,-1.5,-1.6,0.462,14,0.774,0.227,0.088,0.201,0.257,0.226,0.495,0.61,0.414,0.498,0.421,0.349,0.381,0,0.858,0.317,0.401
Inactive,Bernard James,C,jamesbe01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jamesbe01.html,92,761,13.8,0.546,0.02,0.49,12.6,18.5,15.6,2.4,1.1,6.4,15.5,13.1,-2.9,1.8,-1.1,0.497,3.6,0.98,0.725,0.216,0.026,0.013,0.02,0.507,0.595,0.303,0,0,0,0.711,0.144,0,0.333,0
Active,Bismack Biyombo,C,biyombi01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/biyombi01.html,424,9107,12.5,0.536,0.001,0.639,10.6,24.3,17.3,2.9,0.6,5.6,16.9,11.5,-4,2,-2,0.511,3.8,0.999,0.606,0.284,0.084,0.027,0.001,0.512,0.642,0.315,0.336,0.2,0,0.708,0.225,0,0,0
