,Status,Player,Pos,Player_ID,url,G,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DPM,BPM,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,FG_100,FGA_100,FG%_100,3P_100,3PA_100,3P%_100,2P_100,2PA_100,2P%_100,FT_100,FTA_100,FT%_100,ORB_100,DRB_100,TRB_100,AST_100,STL_100,BLK_100,TOV_100,PF_100,PTS_100,ORtg,DRtg,Cluster
0,Inactive,A.J. Price,PG,priceaj01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/priceaj01.html,261,12.2,0.486,0.193,1.9,8.7,5.3,23.6,1.6,0.2,12.8,20.5,-0.3,-2.1,-2.4,0.38,18.3,0.522,0.1,0.113,0.126,0.184,0.478,0.439,0.583,0.393,0.44,0.389,0.316,0.178,0.0,0.739,0.152,0.324,7.2,18.8,0.38,2.8,9.0,0.316,4.3,9.8,0.439,2.7,3.6,0.742,0.9,4.0,4.9,7.4,1.6,0.1,3.0,3.1,19.8,100,108,6
1,Active,Aaron Brooks,PG,brookaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,594,13.5,0.525,0.201,2.1,6.9,4.5,23.8,1.4,0.5,14.4,23.3,0.7,-2.4,-1.7,0.413,15.2,0.595,0.241,0.14,0.091,0.121,0.405,0.444,0.506,0.392,0.427,0.393,0.368,0.167,0.001,0.663,0.141,0.413,8.7,21.0,0.413,3.1,8.5,0.368,5.5,12.5,0.444,3.5,4.2,0.839,1.0,3.2,4.1,7.4,1.4,0.3,3.8,4.6,24.0,104,110,6
2,Active,Aaron Gordon,SF,gordoaa01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,182,14.3,0.522,0.29,7.1,17.7,12.3,9.9,1.4,2.0,9.8,17.8,-0.6,0.4,-0.3,0.45,11.6,0.717,0.394,0.111,0.093,0.122,0.283,0.514,0.661,0.351,0.333,0.315,0.289,0.49,0.111,0.919,0.346,0.301,7.2,16.1,0.45,1.3,4.5,0.289,5.9,11.5,0.514,3.1,4.7,0.669,3.3,7.9,11.2,3.2,1.4,1.2,2.0,4.2,18.9,107,108,3
4,Active,Adreian Payne,PF,paynead01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html,96,7.4,0.444,0.215,6.4,19.4,12.8,7.4,1.5,1.5,16.4,17.8,-4.9,-0.8,-5.8,0.399,11.5,0.874,0.252,0.228,0.116,0.277,0.126,0.422,0.529,0.37,0.362,0.393,0.235,0.631,0.082,0.917,0.196,0.2,6.2,15.5,0.399,0.5,2.0,0.235,5.7,13.6,0.422,2.3,3.3,0.678,2.8,8.4,11.3,2.4,1.5,0.9,3.3,7.2,15.1,87,110,3
5,Active,Al Horford,C,horfoal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,623,19.0,0.568,0.216,8.0,22.0,15.1,14.7,1.3,2.9,11.2,19.6,0.8,2.2,3.0,0.529,10.0,0.928,0.311,0.223,0.131,0.263,0.072,0.543,0.725,0.439,0.436,0.469,0.344,0.714,0.091,0.977,0.254,0.328,9.5,18.0,0.529,0.4,1.3,0.344,9.1,16.7,0.543,2.9,3.9,0.747,3.6,10.0,13.6,4.5,1.3,1.9,2.5,3.7,22.3,114,104,7
6,Active,Al Jefferson,C,jeffeal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,870,20.6,0.527,0.231,9.0,25.0,16.9,9.7,1.2,3.3,8.2,25.5,-0.2,0.5,0.3,0.499,7.8,0.995,0.323,0.332,0.197,0.143,0.005,0.501,0.656,0.467,0.388,0.383,0.127,0.542,0.051,0.875,0.095,0.167,12.2,24.4,0.499,0.0,0.1,0.127,12.1,24.2,0.501,4.0,5.6,0.709,4.1,11.1,15.1,2.6,1.2,2.2,2.4,4.6,28.3,108,105,7
7,Active,Al-Farouq Aminu,SF,aminual01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,496,12.3,0.509,0.273,6.7,20.2,13.4,7.9,2.1,2.0,15.3,15.7,-1.7,1.4,-0.3,0.426,11.4,0.721,0.366,0.172,0.051,0.132,0.279,0.467,0.611,0.325,0.327,0.306,0.319,0.621,0.1,0.96,0.415,0.344,5.8,13.6,0.426,1.2,3.8,0.319,4.6,9.8,0.467,2.7,3.7,0.73,3.0,9.1,12.1,2.7,2.1,1.3,2.8,4.1,15.5,101,106,3
8,Active,Alan Anderson,SF,anderal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/anderal01.html,323,10.3,0.525,0.237,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6,-0.6,-1.5,-2.1,0.404,16.2,0.538,0.202,0.108,0.096,0.132,0.462,0.456,0.647,0.338,0.402,0.297,0.343,0.479,0.02,0.866,0.352,0.365,6.5,16.0,0.404,2.5,7.4,0.343,3.9,8.6,0.456,3.1,3.8,0.817,1.2,4.3,5.5,2.9,1.4,0.2,2.2,4.6,18.6,103,110,5
10,Active,Alec Burks,SG,burksal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/burksal01.html,280,14.0,0.527,0.412,3.5,11.2,7.3,13.9,1.5,0.6,12.6,22.9,-0.4,-1.6,-2.0,0.432,12.0,0.801,0.318,0.18,0.075,0.227,0.199,0.45,0.605,0.329,0.366,0.356,0.362,0.358,0.039,0.78,0.274,0.402,8.4,19.5,0.432,1.4,3.9,0.362,7.0,15.6,0.45,6.0,8.0,0.748,1.6,5.1,6.7,4.3,1.5,0.4,3.3,4.6,24.3,104,110,5
11,Active,Alex Abrines,SG,abrinal01,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/abrinal01.html,46,9.9,0.566,0.204,2.1,6.7,4.4,5.2,1.6,0.6,9.5,16.0,-0.6,-2.5,-3.1,0.393,20.5,0.284,0.109,0.055,0.05,0.07,0.716,0.439,0.5,0.455,0.2,0.5,0.375,0.6,0.02,0.963,0.208,0.367,6.0,15.3,0.393,4.1,11.0,0.375,1.9,4.3,0.439,2.7,3.1,0.878,0.9,3.0,3.9,1.8,1.6,0.4,1.8,5.3,18.9,112,111,5
