,Season,Player,Player_ID,Pos,url,Player_ID1,Games_,Minutes_Played,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DPM,BPM,VORP,Games,Min_Played,FG%,AVG_DIST_FGA,%FGA_2P,%FGA_0-3ft,%FGA_3-10ft,%FGA_10-16ft,%FGA_16ft<3,%FGA_3P,2P%,0-3_FG%,3-10_FG%,10-16_FG%,16<3_FG%,3P%,%ASTd_2P,%FGA_DUNK,DUNKS,%ASTd_3P,%_CORNER3PA,3P%_CORNER3,HEAVE_ATT,HEAVE_MD
0,Active,A.J. Hammons,hammoaj01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/hammoaj01.html,hammoaj01,17.0,77.0,9.7,0.455,0.273,0.455,7.2,24.0,15.2,4.1,0.0,7.0,10.2,18.1,-0.1,0.1,0.0,0.015,0.0,1.1,-5.6,-0.1,17.0,77.0,0.409,13.5,0.727,0.273,0.091,0.182,0.182,0.273,0.313,0.333,0.0,0.25,0.5,0.667,0.8,0.091,2.0,1.0,0.167,0.0,0.0,0.0
1,Active,Aaron Brooks,brookaa01,PG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/b/brookaa01.html,brookaa01,594.0,13016.0,13.5,0.525,0.405,0.201,2.1,6.9,4.5,23.8,1.4,0.5,14.4,23.3,10.5,8.5,19.0,0.07,0.0,-2.4,-1.7,1.1,594.0,13016.0,0.413,15.2,0.595,0.241,0.14,0.091,0.121,0.405,0.444,0.506,0.392,0.427,0.393,0.368,0.167,0.001,3.0,0.663,0.141,0.413,43.0,2.0
2,Active,Aaron Gordon,gordoaa01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,gordoaa01,182.0,4238.0,14.3,0.522,0.283,0.29,7.1,17.7,12.3,9.9,1.4,2.0,9.8,17.8,4.1,4.1,8.1,0.092,0.0,0.4,-0.3,1.9,182.0,4238.0,0.45,11.6,0.717,0.394,0.111,0.093,0.122,0.283,0.514,0.661,0.351,0.333,0.315,0.289,0.49,0.111,140.0,0.919,0.346,0.301,8.0,0.0
3,Inactive,Aaron Gordon,gordoaa01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/g/gordoaa01.html,gordoaa01,182.0,4238.0,14.3,0.522,0.283,0.29,7.1,17.7,12.3,9.9,1.4,2.0,9.8,17.8,4.1,4.1,8.1,0.092,0.0,0.4,-0.3,1.9,182.0,4238.0,0.45,11.6,0.717,0.394,0.111,0.093,0.122,0.283,0.514,0.661,0.351,0.333,0.315,0.289,0.49,0.111,140.0,0.919,0.346,0.301,8.0,0.0
4,Active,Aaron Harrison,harriaa01,SG,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/harriaa01.html,harriaa01,26.0,110.0,3.3,0.326,0.522,0.609,3.9,14.0,8.9,6.1,2.7,0.0,12.1,13.6,-0.2,0.2,-0.1,-0.033,0.0,-0.2,-6.4,-0.1,26.0,110.0,0.217,18.1,0.478,0.174,0.043,0.0,0.261,0.522,0.182,0.5,0.0,0.0,0.0,0.25,1.0,0.0,0.0,0.667,0.417,0.2,0.0,0.0
5,Active,Adreian Payne,paynead01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/p/paynead01.html,paynead01,96.0,1317.0,7.4,0.444,0.126,0.215,6.4,19.4,12.8,7.4,1.5,1.5,16.4,17.8,-1.5,0.7,-0.8,-0.03,0.0,-0.8,-5.8,-1.3,96.0,1317.0,0.399,11.5,0.874,0.252,0.228,0.116,0.277,0.126,0.422,0.529,0.37,0.362,0.393,0.235,0.631,0.082,27.0,0.917,0.196,0.2,0.0,0.0
6,Active,Al Horford,horfoal01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/h/horfoal01.html,horfoal01,623.0,20823.0,19.0,0.568,0.072,0.216,8.0,22.0,15.1,14.7,1.3,2.9,11.2,19.6,38.2,29.8,68.0,0.157,0.0,2.2,3.0,26.2,623.0,20823.0,0.529,10.0,0.928,0.311,0.223,0.131,0.263,0.072,0.543,0.725,0.439,0.436,0.469,0.344,0.714,0.091,620.0,0.977,0.254,0.328,1.0,0.0
7,Active,Al Jefferson,jeffeal01,C,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,jeffeal01,870.0,25716.0,20.6,0.527,0.005,0.231,9.0,25.0,16.9,9.7,1.2,3.3,8.2,25.5,36.6,32.6,69.3,0.129,0.0,0.5,0.3,15.0,870.0,25716.0,0.499,7.8,0.995,0.323,0.332,0.197,0.143,0.005,0.501,0.656,0.467,0.388,0.383,0.127,0.542,0.051,573.0,0.875,0.095,0.167,15.0,0.0
8,Inactive,Al Jefferson,jeffeal01,PF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/j/jeffeal01.html,jeffeal01,870.0,25716.0,20.6,0.527,0.005,0.231,9.0,25.0,16.9,9.7,1.2,3.3,8.2,25.5,36.6,32.6,69.3,0.129,0.0,0.5,0.3,15.0,870.0,25716.0,0.499,7.8,0.995,0.323,0.332,0.197,0.143,0.005,0.501,0.656,0.467,0.388,0.383,0.127,0.542,0.051,573.0,0.875,0.095,0.167,15.0,0.0
9,Active,Al-Farouq Aminu,aminual01,SF,file:///Users/alexcheng/Downloads/us.sitesucker.mac.sitesucker/www.basketball-reference.com/players/a/aminual01.html,aminual01,496.0,11822.0,12.3,0.509,0.279,0.273,6.7,20.2,13.4,7.9,2.1,2.0,15.3,15.7,3.4,12.8,16.2,0.066,0.0,1.4,-0.3,5.0,496.0,11822.0,0.426,11.4,0.721,0.366,0.172,0.051,0.132,0.279,0.467,0.611,0.325,0.327,0.306,0.319,0.621,0.1,282.0,0.96,0.415,0.344,3.0,0.0
